Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%),Ticker,Market Cap,Exchange,US Exchange
Dell,Agile SCM,300.0,7.0,8.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,85.0,12.0,7.0,High,90.0,85.0,52496016,131000,60,105500,61,51,DELL,64403746816.0,NYQ,True
HP,Lean Manufacturing,500.0,4.5,20.0,89.0,87.0,"ERP, AI, Blockchain",75.0,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,80.0,9.0,12.0,Medium,85.0,80.0,82235367,132000,61,106000,62,52,HP,2510303488.0,NYQ,True
Adobe,Agile SCM,250.0,10.0,7.0,98.0,93.0,"ERP, AI, Blockchain",75.0,High,1.0,98.0,90.0,High,Advanced,High,$1200B,88.0,12.0,3.0,High,95.0,90.0,92956358,133000,62,106500,63,53,ADBE,164389601280.0,NMS,True
Nvidia,Lean Manufacturing,300.0,5.0,18.0,87.0,85.0,"ERP, AI, Robotics",75.0,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,80.0,9.0,15.0,Medium,85.0,80.0,12707036,134000,63,107000,64,54,NVDA,2675947864064.0,NMS,True
Tencent,Agile SCM,250.0,6.0,9.0,93.0,92.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,78547324,135000,64,107500,65,55,0700.HK,4643888824320.0,HKG,False
Baidu,Lean Manufacturing,10000.0,5.0,15.0,91.0,89.0,"ERP, AI, Blockchain",65.0,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,80.0,10.0,10.0,Medium,85.0,80.0,46547340,136000,65,108000,50,56,BIDU,33014138880.0,NMS,True
SAP,Vendor Managed Inventory,100.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,10047454,137000,66,108500,51,57,SAP,312646107136.0,NYQ,True
Salesforce,Efficient Consumer Response,75000.0,6.5,10.0,90.0,85.0,"ERP, AI, Blockchain",85.0,High,5.0,96.0,85.0,High,Advanced,Medium,$350B,82.0,11.0,8.0,High,87.0,85.0,8585378,138000,67,109000,52,58,CRM,259441164288.0,NYQ,True
Alibaba,Sustainable SCM,70000.0,7.5,12.0,88.0,85.0,"AI, ERP, Blockchain",90.0,Medium,4.0,97.0,80.0,Medium,Advanced,Medium,$400B,75.0,8.0,15.0,Medium,80.0,78.0,95927381,139000,68,109500,53,59,BABA,320055476224.0,NYQ,True
Xiaomi,Lean Manufacturing,100.0,5.8,12.0,89.0,88.0,"ERP, AI, Robotics",75.0,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,80.0,10.0,10.0,Medium,85.0,80.0,79018914,140000,69,110000,54,60,1810.HK,1281952186368.0,HKG,False
Huawei,Agile SCM,200.0,5.0,12.0,90.0,89.0,"ERP, AI, Blockchain",70.0,High,4.0,97.0,85.0,High,Advanced,Medium,$700B,80.0,9.0,8.0,High,88.0,85.0,30831220,141000,70,110500,55,40,180605.SZ,,SHZ,False
LG,Lean Manufacturing,500.0,5.5,14.0,90.0,88.0,"ERP, AI, Blockchain",70.0,Medium,4.0,97.0,85.0,Medium,Advanced,Medium,$800B,85.0,9.0,12.0,Medium,85.0,85.0,108331513,142000,60,111000,56,41,LGND,2072266240.0,NGM,False
Panasonic,Agile SCM,300.0,6.5,10.0,92.0,90.0,"ERP, AI, Blockchain",70.0,High,2.0,97.0,85.0,High,Advanced,Medium,$800B,85.0,11.0,8.0,High,88.0,85.0,33978003,143000,61,111500,57,42,6752.T,4114714722304.0,JPX,False
Broadcom,Demand-Driven SCM,300.0,6.0,10.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,63967151,144000,62,112000,58,43,AVGO,795193769984.0,NMS,True
Qualcomm,Lean Manufacturing,500.0,5.0,14.0,88.0,87.0,"ERP, AI, Robotics",70.0,High,5.0,97.0,85.0,Medium,Advanced,Medium,$500B,80.0,10.0,10.0,Medium,85.0,80.0,93580483,145000,63,112500,59,44,QCOM,168908324864.0,NMS,True
AMD,Agile SCM,400.0,5.8,8.0,94.0,89.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,85.0,High,Advanced,Medium,$800B,85.0,10.0,5.0,High,90.0,85.0,18298918,146000,64,113000,60,45,AMD,167265943552.0,NMS,True
Uber,Vendor Managed Inventory,150.0,4.0,11.0,91.0,90.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,87692769,147000,65,113500,61,46,UBER,152139169792.0,NYQ,True
Lyft,Vendor Managed Inventory,100.0,4.5,10.0,90.0,88.0,"ERP, AI, Blockchain",80.0,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,44620659,148000,66,114000,62,47,LYFT,4836363776.0,NMS,True
Airbnb,Agile SCM,200.0,5.5,11.0,90.0,89.0,"ERP, AI, Blockchain",75.0,High,4.0,97.0,88.0,High,Advanced,Medium,$600B,85.0,10.0,8.0,High,88.0,85.0,93837988,149000,67,114500,63,48,ABNB,74989527040.0,NMS,True
Spotify,Agile SCM,150.0,5.8,10.0,93.0,92.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,55519129,150000,68,115000,64,49,SPOT,114873376768.0,NYQ,True
Twitter,Sustainable SCM,20000.0,5.2,11.0,90.0,88.0,"ERP, AI, Blockchain",85.0,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,83375338,151000,69,115500,65,50,EBT-USD,0.0,CCC,False
LinkedIn,Vendor Managed Inventory,100.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,46216126,152000,70,116000,50,51,,351225472.0,,False
Pinterest,Just-In-Time,1300000.0,8.2,2.0,98.0,92.0,"AI, Robotics, Blockchain",80.0,High,1.0,99.0,88.0,High,Advanced,High,"$1,500B",85.0,20.0,5.0,High,90.0,85.0,14573459,153000,60,116500,51,52,PINS,21344116736.0,NYQ,True
Snap Inc.,Vendor Managed Inventory,200.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,46510961,154000,61,117000,52,53,SNAP,15080640512.0,NYQ,True
Dropbox,Lean Manufacturing,300.0,5.0,18.0,87.0,85.0,"ERP, AI, Robotics",75.0,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,80.0,9.0,15.0,Medium,85.0,80.0,73208493,155000,62,117500,53,54,DBX,7791136768.0,NMS,True
Slack,Lean Manufacturing,100.0,5.8,12.0,89.0,88.0,"ERP, AI, Robotics",75.0,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,80.0,10.0,10.0,Medium,85.0,80.0,30185055,156000,63,118000,54,55,,351225472.0,,False
Zoom,Lean Manufacturing,400.0,4.0,18.0,88.0,85.0,"ERP, JIT, Robotics",70.0,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,12.0,Medium,85.0,80.0,45718844,157000,64,118500,55,56,ZM,22843709440.0,NMS,True
Square,Vendor Managed Inventory,150.0,4.0,11.0,91.0,90.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,42860081,158000,65,119000,56,57,OXSQ,178661120.0,NMS,True
PayPal,Agile SCM,150.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,30948144,159000,66,119500,57,58,PYPL,64449118208.0,NMS,True
Shopify,Vendor Managed Inventory,100.0,4.5,10.0,90.0,88.0,"ERP, AI, Blockchain",80.0,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,36213004,160000,67,120000,58,59,SHOP,125101989888.0,NYQ,True
Stripe,Agile SCM,300.0,6.5,10.0,92.0,90.0,"ERP, AI, Blockchain",70.0,High,2.0,97.0,85.0,High,Advanced,Medium,$800B,85.0,11.0,8.0,High,88.0,85.0,52286003,161000,68,120500,59,60,0P0000X8PB,,PNK,False
ByteDance,Agile SCM,150.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,66880549,162000,69,121000,60,40,,351225472.0,,False
TikTok,Lean Manufacturing,500.0,4.2,20.0,88.0,85.0,"ERP, AI, Robotics",70.0,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,80.0,80954885,163000,70,121500,61,41,PEANUT33916-USD,0.0,CCC,False
Netflix,Lean Manufacturing,400.0,4.5,18.0,90.0,88.0,"ERP, AI, Robotics",75.0,High,5.0,97.0,85.0,High,Advanced,Medium,$900B,85.0,11.0,10.0,Medium,85.0,85.0,34086264,164000,60,122000,62,42,NFLX,399460859904.0,NMS,True
Hulu,Agile SCM,300.0,10.0,7.0,98.0,94.0,"AI, ERP, Blockchain",75.0,High,1.0,98.0,92.0,High,Advanced,High,$1500B,90.0,12.0,3.0,High,95.0,90.0,48939583,165000,61,122500,63,43,000751.SZ,4798420992.0,SHZ,False
Disney+,Lean Manufacturing,300.0,6.2,10.0,93.0,91.0,"ERP, AI, Blockchain",80.0,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,33127677,166000,62,123000,64,44,DIS,177289953280.0,NYQ,True
Roku,Vendor Managed Inventory,100.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,41241274,167000,63,123500,65,45,ROKU,10579480576.0,NMS,True
Hulu,Lean Manufacturing,300.0,5.0,22.0,89.0,87.0,"ERP, AI, Blockchain",75.0,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,85.0,9.0,15.0,Medium,85.0,80.0,88883976,168000,64,124000,50,46,000751.SZ,4798420992.0,SHZ,False
Asana,Demand-Driven SCM,300.0,6.0,10.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,61902172,169000,65,124500,51,47,ASAN,3468156160.0,NYQ,True
Trello,Lean Manufacturing,10000.0,5.0,15.0,91.0,89.0,"ERP, AI, Blockchain",65.0,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,80.0,10.0,10.0,Medium,85.0,80.0,50305762,170000,66,125000,52,48,,351225472.0,,False
Atlassian,Sustainable SCM,20000.0,5.2,11.0,90.0,88.0,"ERP, AI, Blockchain",85.0,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,78507231,171000,67,125500,53,49,TEAM,57113382912.0,NMS,True
GitHub,Lean Manufacturing,500.0,4.2,20.0,88.0,85.0,"ERP, AI, Robotics",70.0,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,80.0,5853585,172000,68,126000,54,50,MONA33582-USD,0.0,CCC,False
Bitbucket,Vendor Managed Inventory,200.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,61777470,173000,69,126500,55,51,,351225472.0,,False
Red Hat,Lean Manufacturing,100.0,5.8,12.0,89.0,88.0,"ERP, AI, Robotics",75.0,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,80.0,10.0,10.0,Medium,85.0,80.0,70641,174000,70,127000,56,52,,351225472.0,,False
VMware,Vendor Managed Inventory,150.0,4.0,11.0,91.0,90.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,91992690,175000,60,127500,57,53,,351225472.0,,False
Citrix,Agile SCM,250.0,10.0,7.0,98.0,93.0,"ERP, AI, Blockchain",75.0,High,1.0,98.0,90.0,High,Advanced,High,$1200B,88.0,12.0,3.0,High,95.0,90.0,29859175,176000,61,128000,58,54,,351225472.0,,False
Splunk,Lean Manufacturing,400.0,4.0,18.0,88.0,85.0,"ERP, JIT, Robotics",70.0,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,12.0,Medium,85.0,80.0,14509188,177000,62,128500,59,55,,351225472.0,,False
ServiceNow,Agile SCM,200.0,6.0,12.0,91.0,90.0,"ERP, AI, Blockchain",75.0,High,3.0,97.0,85.0,High,Advanced,Medium,$800B,85.0,11.0,10.0,High,88.0,85.0,33163774,178000,63,129000,60,56,NOW,164727078912.0,NYQ,True
Workday,Sustainable SCM,20000.0,5.2,11.0,90.0,88.0,"ERP, AI, Blockchain",85.0,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,60031993,179000,64,129500,61,57,WDAY,63438340096.0,NMS,True
Snowflake,Lean Manufacturing,500.0,6.0,14.0,90.0,85.0,"ERP, JIT, Robotics",75.0,High,5.0,98.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,10.0,Medium,85.0,80.0,10495301,180000,65,130000,62,58,SNOW,50325483520.0,NYQ,True
Databricks,Agile SCM,200.0,50.0,7.0,99.0,94.0,"AI, ERP, Blockchain",65.0,High,2.0,98.0,92.0,High,Advanced,Low,$1200B,88.0,15.0,3.0,High,95.0,90.0,91063626,181000,66,130500,63,59,,351225472.0,,False
Palantir,Lean Manufacturing,300.0,6.2,10.0,93.0,91.0,"ERP, AI, Blockchain",80.0,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,70560221,182000,67,131000,64,60,PLTR,201349136384.0,NMS,True
MongoDB,Vendor Managed Inventory,100.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,77209214,183000,68,131500,65,40,MDB,14453844992.0,NGM,False
Elastic,Agile SCM,250.0,10.0,7.0,98.0,93.0,"ERP, AI, Blockchain",75.0,High,1.0,98.0,90.0,High,Advanced,High,$1200B,88.0,12.0,3.0,High,95.0,90.0,81949125,184000,69,132000,50,41,ESTC,9572583424.0,NYQ,True
Cloudera,Sustainable SCM,20000.0,5.2,11.0,90.0,88.0,"ERP, AI, Blockchain",85.0,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,97453339,185000,70,132500,51,42,,351225472.0,,False
Confluent,Vendor Managed Inventory,150.0,3.5,9.0,92.0,93.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$800B,85.0,12.0,8.0,High,88.0,85.0,76294552,186000,60,133000,52,43,CFLT,8126609408.0,NMS,True
Informatica,Just-In-Time,1300000.0,8.2,2.0,98.0,92.0,"AI, Robotics, Blockchain",80.0,High,1.0,99.0,88.0,High,Advanced,High,"$1,500B",85.0,20.0,5.0,High,90.0,85.0,87796278,187000,61,133500,53,44,INFA,5480068096.0,NYQ,True
Alteryx,Lean Manufacturing,200.0,5.2,15.0,91.0,89.0,"ERP, AI, Robotics",75.0,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,85.0,104999165,188000,62,134000,54,45,,351225472.0,,False
Tableau,Agile SCM,200.0,7.0,8.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,90.0,High,Advanced,Medium,$600B,85.0,12.0,7.0,High,90.0,85.0,93560814,189000,63,134500,55,46,,351225472.0,,False
SAS,Demand-Driven SCM,500.0,5.5,10.0,92.0,90.0,"ERP, AI, Blockchain",80.0,High,4.0,98.0,85.0,High,Advanced,Medium,$500B,80.0,12.0,8.0,High,89.0,85.0,35610156,190000,64,135000,56,47,SSL,2637479936.0,NYQ,True
Teradata,Agile SCM,150.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,89595921,191000,65,135500,57,48,TDC,2206893568.0,NYQ,True
Qlik,Agile SCM,250.0,6.0,9.0,93.0,92.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$900B,85.0,11.0,8.0,High,91.0,85.0,51327756,192000,66,136000,58,49,,351225472.0,,False
Looker,Agile SCM,300.0,10.0,7.0,98.0,94.0,"AI, ERP, Blockchain",75.0,High,1.0,98.0,92.0,High,Advanced,High,$1500B,90.0,12.0,3.0,High,95.0,90.0,83692387,193000,67,136500,59,50,,351225472.0,,False
Domo,Cross-Docking,100000.0,8.3,2.0,98.0,90.0,"AI, ERP, Blockchain",75.0,High,1.0,98.0,90.0,High,Advanced,High,$500B,80.0,12.0,5.0,High,90.0,85.0,90354784,194000,68,137000,60,51,DOMO,311296512.0,NGM,False
MicroStrategy,Agile SCM,200.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,14681317,195000,69,137500,61,52,MSTR,75378860032.0,NMS,True
ThoughtSpot,Lean Manufacturing,10000.0,5.0,15.0,91.0,89.0,"ERP, AI, Blockchain",65.0,Medium,5.0,95.0,85.0,Medium,Advanced,Medium,$300B,80.0,10.0,10.0,Medium,85.0,80.0,77897543,196000,70,138000,62,53,,351225472.0,,False
Sisense,Just-In-Time,1000000.0,7.5,3.0,97.0,91.0,"AI, Robotics, Blockchain",75.0,High,1.0,98.0,90.0,High,Advanced,High,"$1,200B",85.0,18.0,5.0,High,90.0,88.0,70016225,197000,60,138500,63,54,,351225472.0,,False
Talend,Agile SCM,200.0,6.0,12.0,91.0,90.0,"ERP, AI, Blockchain",75.0,High,3.0,97.0,85.0,High,Advanced,Medium,$800B,85.0,11.0,10.0,High,88.0,85.0,36513467,198000,61,139000,64,55,,351225472.0,,False
Collibra,Demand-Driven SCM,300.0,6.0,10.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,88.0,High,Advanced,High,$500B,85.0,12.0,7.0,High,90.0,85.0,50011986,199000,62,139500,65,56,,351225472.0,,False
Alation,Vendor Managed Inventory,150.0,4.0,11.0,91.0,90.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$600B,85.0,11.0,10.0,High,88.0,85.0,1079601,200000,63,140000,50,57,,351225472.0,,False
Trifacta,Vendor Managed Inventory,100.0,4.2,12.0,91.0,89.0,"ERP, AI, Blockchain",80.0,High,3.0,99.0,88.0,High,Advanced,Low,$700B,85.0,11.0,10.0,High,88.0,85.0,46977875,201000,64,140500,51,58,,351225472.0,,False
Reltio,Vendor Managed Inventory,100.0,4.5,10.0,90.0,88.0,"ERP, AI, Blockchain",80.0,High,3.0,98.0,88.0,High,Advanced,Low,$700B,85.0,11.0,8.0,High,88.0,85.0,36634822,202000,65,141000,52,59,,351225472.0,,False
DataRobot,Lean Manufacturing,300.0,5.0,22.0,89.0,87.0,"ERP, AI, Blockchain",75.0,Medium,5.0,96.0,85.0,Medium,Advanced,Medium,$900B,85.0,9.0,15.0,Medium,85.0,80.0,60972985,203000,66,141500,53,60,,351225472.0,,False
Dataiku,Lean Manufacturing,400.0,4.5,18.0,90.0,88.0,"ERP, AI, Robotics",75.0,High,5.0,97.0,85.0,High,Advanced,Medium,$900B,85.0,11.0,10.0,Medium,85.0,85.0,89386387,204000,67,142000,54,40,,351225472.0,,False
Domino Data Lab,Lean Manufacturing,400.0,4.0,18.0,88.0,85.0,"ERP, JIT, Robotics",70.0,High,5.0,95.0,85.0,High,Advanced,Medium,$700B,80.0,10.0,12.0,Medium,85.0,80.0,95057281,205000,68,142500,55,41,,351225472.0,,False
Anaconda,Lean Manufacturing,300.0,5.0,18.0,87.0,85.0,"ERP, AI, Robotics",75.0,Medium,6.0,95.0,85.0,Medium,Advanced,Medium,$500B,80.0,9.0,15.0,Medium,85.0,80.0,28709380,206000,69,143000,56,42,,351225472.0,,False
Kaggle,Agile SCM,150.0,5.8,10.0,93.0,92.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,88.0,High,Advanced,Medium,$800B,85.0,10.0,8.0,High,90.0,85.0,95450772,207000,70,143500,57,43,,351225472.0,,False
MathWorks,Lean Manufacturing,500.0,5.5,14.0,90.0,88.0,"ERP, AI, Blockchain",70.0,Medium,4.0,97.0,85.0,Medium,Advanced,Medium,$800B,85.0,9.0,12.0,Medium,85.0,85.0,9702702,208000,60,144000,58,44,,351225472.0,,False
RapidMiner,Agile SCM,300.0,10.5,8.0,94.0,89.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,85.0,12.0,7.0,High,90.0,85.0,83273069,209000,61,144500,59,45,,351225472.0,,False
KNIME,Lean Manufacturing,200.0,5.8,15.0,91.0,90.0,"ERP, AI, Robotics",,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,85.0,14764961,210000,62,145000,60,46,,351225472.0,,False
H2O.ai,Cross-Docking,20000.0,7.0,4.0,95.0,90.0,"AI, ERP, Blockchain",,High,1.0,98.0,88.0,High,Advanced,High,$300B,80.0,12.0,5.0,High,90.0,85.0,72807713,211000,63,145500,61,47,,351225472.0,,False
Altair,Agile SCM,500.0,5.2,15.0,95.0,88.0,"ERP, AI, Blockchain",,High,10.0,95.0,80.0,High,Advanced,Medium,$1000B,78.0,8.0,12.0,Medium,88.0,85.0,105089516,212000,64,146000,62,48,ALTR,9632991232.0,NMS,True
OpenAI,Lean Manufacturing,100.0,6.0,12.0,89.0,91.0,"ERP, AI, Robotics",,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,80.0,10.0,10.0,Medium,85.0,80.0,21104793,213000,65,146500,63,49,OPERATOR-USD,0.0,CCC,False
DeepMind,Agile SCM,200.0,7.2,8.0,94.0,88.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,Medium,$600B,85.0,12.0,7.0,High,90.0,85.0,51509698,214000,66,147000,64,50,223310.KQ,51490893824.0,KOE,False
Element AI,Sustainable SCM,20000.0,6.0,11.0,90.0,91.0,"ERP, AI, Blockchain",,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,30413514,215000,67,147500,65,51,,351225472.0,,False
Nuro,Agile SCM,400.0,5.5,9.0,93.0,89.0,"ERP, AI, Blockchain",,High,2.0,97.0,88.0,High,Advanced,Medium,$700B,85.0,10.0,7.0,High,90.0,85.0,53386039,216000,68,148000,50,52,NURO,9093549.0,NCM,False
Zoox,Lean Manufacturing,1500.0,7.0,5.0,93.0,90.0,"ERP, AI, Blockchain",,High,2.0,98.0,90.0,High,Advanced,High,$500B,85.0,11.0,5.0,High,90.0,85.0,48491184,217000,69,148500,51,53,,351225472.0,,False
